,cluster,Name
197,1,J39-SOLAN BRANCH
198,1,J50-YAMUNA NAGAR BRANCH
199,2,Q09-AJMER BRANCH
200,1,Q07-ALWAR BRANCH
201,1,Q44-NEEMRANA BRANCH
202,1,Q34-BAWAL BRANCH
203,1,Q18-BEHROR SORTING OFFICE
204,1,Q40-BHARATPUR BRANCH
205,1,Q12-BHILWARA SORTING OFFICE
206,1,Q11-BHIWADI BRANCH
207,1,Q14-BIKANER BRANCH
208,2,Q01-JAIPUR LALKOTHI BRANCH
209,0,Q05-JAIPUR APEX
210,2,Q06-JAIPUR VAISHALINAGAR BRANCH
211,2,Q17-MANSAROVAR BRANCH
212,2,Q35-JAIPUR VKI BRANCH
213,1,Q41-BAGRU BRANCH
214,1,Q43-SHAHPURA (JAIPUR ROAD) NODAL POINT
215,2,Q02-JODHPUR BRANCH
216,2,Q03-KOTA SUPER FRANCHISEE
217,1,Q10-PALI BRANCH
218,1,Q16-SIKAR BRANCH
219,1,Q13-SRIGANGANAGAR BRANCH
220,2,Q04-UDAIPUR BRANCH
221,3,N02-TRANSYAMUNA BRANCH
222,3,N03-NARAINA CITY BRANCH
223,1,N05-DELHI SAMALKHA APEX
224,2,N09-WAZIRPUR BRANCH
225,2,N10-JHANDEWALAN BRANCH
226,3,N11-MEERBAGH BRANCH
227,2,N15-DURGAPURI BRANCH
228,3,N17-ROHINI BRANCH
229,1,N20-DELHI DP PROCESSING CENTRE APEX
230,1,N24-DELHI ECOMMERCE PROCESSING CENTRE APEX
231,2,N33-DARYGANJ BRANCH
232,1,N40-BAWANA BRANCH
233,2,N37-JAMMU BRANCH
234,3,N30-NOIDA APEX
235,2,N31-GREATER NOIDA BRANCH
236,3,N32-NOIDA PH3 BRANCH
237,2,N35-PARI CHOWK BRANCH
238,1,N38-SRI NAGAR BRANCH
239,2,S27-BALLABHGARH BRANCH
240,3,S01-KHIRKI BRANCH
241,2,S03-MAHIPALPUR BRANCH
242,3,S04-OKHLA BRANCH
243,2,S09-DWARKA BRANCH
244,2,S17-ASHRAM BRANCH
245,4,S25-SOUTH DELHI DP PROCESSING CENTER APEX
246,2,S26-CHATTARPUR BRANCH
247,2,S02-FARIDABAD BRANCH
248,2,U09-AGRA BRANCH
249,2,U16-ALIGARH BRANCH
250,2,U15-BAREILLY BRANCH
251,1,U31-BIJNORE BRANCH
252,1,U145-BULANDSHAHR BRANCH
253,2,U10-DEHRADUN BRANCH
254,1,U28-SELAQUI BRANCH
255,3,U11-GHAZIABAD APEX
256,2,U07-GWALIOR BRANCH
257,1,U12-HALDWANI BRANCH
258,2,U18-HARDWAR BRANCH
259,1,U24-JHANSI BRANCH
260,1,U27-KASHIPUR BRANCH
261,1,U25-MATHURA BRANCH
262,2,U13-MEERUT BRANCH
263,2,U14-MORADABAD BRANCH
264,1,U19-MUZAFFARNAGAR BRANCH
265,1,U17-RISHIKESH BRANCH
266,1,U22-ROORKEE BRANCH
267,2,U23-RUDRAPUR BRANCH
268,2,U21-SAHIBABAD BRANCH
269,1,U20-SAHARANPUR BRANCH
