,cluster,Name
268,0,U21-SAHIBABAD BRANCH
269,0,U20-SAHARANPUR BRANCH
270,1,U30-VAISHALI BRANCH
271,4,A01-AHMEDABAD APEX
272,1,A11-KHOKHRA BRANCH
273,1,A24-AHMEDABAD BRANCH
274,1,A36-AHMEDABAD WEST BRANCH
275,0,A48-CHILODA BRANCH
276,0,A44-ANAND BRANCH
277,0,A07-ANKLESHWAR BRANCH
278,0,A02-BARODA BRANCH
279,1,A17-BARODA SCS APEX
280,0,A27-BHAVNAGAR SORTING OFFICE
281,4,A47-BHUJ SUPER FRANCHISEE
282,4,A51-DAHEJ SORTING OFFICE
283,0,A38-GANDHINAGAR BRANCH
284,4,A49-HALOL BRANCH
285,0,A33-JAMNAGAR BRANCH
286,0,A16-KUTCH DDLP SUPER FRANCHISE
287,0,A18-MEHSANA BRANCH
288,1,A03-RAJKOT BRANCH
289,4,A50-SANAND BRANCH
290,0,A04-SURAT APEX
291,1,A46-SURAT CITY BRANCH
292,0,A45-SURENDRANAGAR BRANCH
293,1,A05-VAPI BRANCH
294,0,I39-BETUL BRANCH
295,2,I02-BHOPAL BRANCH
296,3,I10-BHOPAL T/S APEX
297,4,I11-CHHINDWARA SORTING OFFICE
298,0,I20-DEWAS BRANCH
299,2,I01-INDORE APEX
300,1,I04-INDORE T/S APEX
301,4,I24-INDORE SCS APEX
302,1,I08-JABALPUR BRANCH
303,4,I30-SHAHDOL NODAL POINT
304,0,I16-MANDSAUR SORTING OFFICE
305,0,I29-NEEMUCH NODAL POINT
306,0,I03-PITHAMPUR SUB BRANCH
307,0,I07-RATLAM SORTING OFFICE
308,0,I19-REWA BRANCH
309,0,I34-SAGAR BRANCH
310,3,I40-UJJAIN SORTING OFFICE
311,3,M33-MUMBAI VADPE APEX
312,1,M35-BHIWANDI BRANCH
313,2,M01-LOWER PAREL BRANCH
314,2,M02-FORT BRANCH
315,1,M04-MIDC BRANCH
316,2,M05-GOREGAON BRANCH
317,1,M06-GHATKOPAR BRANCH
318,2,M07-THANE BRANCH
319,2,M08-VASHI BRANCH
320,0,M10-MUMBAI SAKINAKA APEX
321,3,M13-MUMBAI INTERNATIONAL APEX
322,1,M39-PANVEL BRANCH
323,1,M45-CHEMBUR BRANCH
324,1,M46-VASAI BRANCH
325,1,M47-KALYAN BRANCH
326,1,M48-ANDHERI BRANCH
327,1,M54-MAROL BRANCH
328,0,M57-BOISAR BRANCH
329,1,M59-BHANDUP BRANCH
330,1,M61-DAHISAR SORTING OFFICE
331,1,M66-MAHAPE BRANCH
332,1,M68-BANDRA SORTING OFFICE
333,3,M69-MUMBAI DP PROCESSING CENTRE APEX
334,1,M78-ANDHERI WEST BRANCH
335,0,M63-WADKAL BRANCH
336,4,R04-AKOLA BRANCH
337,0,R12-AMRAVATI BRANCH
338,4,R29-AMBIKAPUR NODAL POINT
339,4,R08-BHILLAI BRANCH
340,4,R07-BILASPUR BRANCH
341,0,R02-CHANDRAPUR SUPER FRANCHISE
342,0,R28-KHAMGAON SORTING OFFICE
343,4,R10-KORBA BRANCH
344,4,R01-NAGPUR APEX
345,4,R05-NAGPUR T/S APEX
346,4,R11-NAGPUR WADI APEX
347,2,R32-NAGPUR KHAMLA BRANCH
348,0,R19-RAIGARH BRANCH
349,1,R06-RAIPUR APEX
350,4,R13-YAVATMAL SUPER FRANCHISEE
351,0,P08-AHMEDNAGAR SUPER FRANCHISEE
352,1,P09-AURANGABAD BRANCH
353,0,P56-WALUJ BRANCH
354,0,P25-BARAMATI MASTER FRANCHISEE
355,0,P21-CHIPLUN BRANCH
356,4,P38-DHULE BRANCH
357,0,P62-ICHALKARANJI SORTING OFFICE
358,4,P20-JALGAON SUPER FRANCHISEE
359,0,P61-JALNA SORTING OFFICE
360,0,P26-KANKAVALI BRANCH
361,0,P11-KOLHAPUR BRANCH
362,0,P16-LATUR BRANCH
363,4,P72-BEED BRANCH
364,0,P17-NANDED SUPER FRANCHISEE
365,1,P19-NASIK BRANCH
366,4,P29-PANDHARPUR SORTING OFFICE
367,4,P58-PARBHANI BRANCH
368,0,P01-PUNE APEX
369,2,P04-PUNE PIMPRI BRANCH
370,2,P12-PUNE SHIVAJI NAGAR BRANCH
371,1,P15-MARKET YARD BRANCH
372,1,P22-KOTHRUD BRANCH
373,1,P24-VIMAN NAGAR BRANCH
374,1,P27-PUNE - HADAPSAR ROAD MASTER FRANCHISEE
375,1,P50-CHAKAN BRANCH
376,0,P65-RANJANGAON BRANCH
377,0,P73-TALEGAON BRANCH
378,0,P60-RATNAGIRI BRANCH
379,0,P10-SANGLI SUPER FRANCHISEE
380,0,P13-SATARA SUPER FRANCHISEE
381,0,P32-KARAD SORTING OFFICE
382,4,P71-SHIRDI-NODAL POINT
383,0,P57-SHIRWAL BRANCH
384,0,P06-SOLAPUR BRANCH
385,4,P28-TEMBHURNI SORTING OFFICE
386,0,W09-ANGUL BRANCH
387,0,W06-BALASORE BRANCH
388,0,W04-BERHAMPUR BRANCH
389,0,W14-BHADRAK SORTING OFFICE
390,4,W10-BHUBANESHWAR SURFACE APEX
391,3,W11-BHUBANESHWAR T/S APEX
